"행정구역","2024년12월_계_총인구수","2024년12월_계_연령구간인구수","2024년12월_계_0~9세","2024년12월_계_10~19세","2024년12월_계_20~29세","2024년12월_계_30~39세","2024년12월_계_40~49세","2024년12월_계_50~59세","2024년12월_계_60~69세","2024년12월_계_70~79세","2024년12월_계_80~89세","2024년12월_계_90~99세","2024년12월_계_100세 이상"
"서울특별시 중랑구 망우본동(1126065500)","38,193","38,193","2,715","2,197","4,342","6,630","5,471","5,729","6,242","3,201","1,436","219","11"
"서울특별시 중랑구 망우제3동(1126066000)","15,396","15,396","495","821","1,819","1,944","1,898","2,926","3,036","1,609","716","130","2"
"서울특별시 중랑구 신내1동(1126068000)","37,124","37,124","2,044","3,721","4,024","4,608","5,328","6,056","6,211","3,351","1,534","237","10"
"서울특별시 중랑구 신내2동(1126069000)","19,330","19,330","934","1,350","2,006","2,711","2,688","3,195","3,392","1,981","922","144","7"
"서울특별시 성북구 (1129000000)","421,560","421,560","22,495","33,973","63,499","55,832","60,897","70,765","58,651","34,744","18,184","2,455","65"
"서울특별시 성북구 성북동(1129052500)","15,827","15,827","593","997","2,453","2,550","2,118","2,721","2,167","1,276","809","137","6"
"서울특별시 성북구 삼선동(1129055500)","21,913","21,913","726","1,548","4,127","3,050","2,846","3,787","2,892","1,747","1,058","127","5"
"서울특별시 성북구 동선동(1129057500)","14,920","14,920","376","787","4,725","2,422","1,700","1,890","1,445","927","564","79","5"
"서울특별시 성북구 돈암제1동(1129058000)","14,033","14,033","631","992","1,803","1,853","1,744","2,521","2,331","1,358","703","95","2"
"서울특별시 성북구 돈암제2동(1129059000)","23,232","23,232","1,542","2,529","2,630","2,734","3,748","4,348","3,100","1,606","837","155","3"
"서울특별시 성북구 안암동(1129060000)","15,250","15,250","368","751","5,627","2,133","1,392","1,914","1,505","930","545","84","1"
"서울특별시 성북구 보문동(1129061000)","16,019","16,019","884","958","2,546","2,762","2,265","2,682","2,098","1,166","576","80","2"
"서울특별시 성북구 정릉제1동(1129062000)","17,617","17,617","1,138","1,594","2,164","2,272","2,752","2,949","2,352","1,515","779","102","0"
"서울특별시 성북구 정릉제2동(1129063000)","22,135","22,135","1,126","1,519","2,915","2,938","2,981","3,817","3,528","2,085","1,084","139","3"
"서울특별시 성북구 정릉제3동(1129064000)","14,161","14,161","382","808","3,405","1,702","1,418","2,104","2,088","1,364","779","109","2"
"서울특별시 성북구 정릉제4동(1129065000)","23,850","23,850","1,099","1,854","3,028","2,845","3,390","4,259","3,721","2,315","1,185","150","4"
"서울특별시 성북구 길음제1동(1129066000)","35,547","35,547","2,812","5,095","3,551","3,779","7,095","6,171","3,623","2,141","1,132","144","4"
"서울특별시 성북구 길음제2동(1129068500)","21,394","21,394","1,939","2,058","2,391","2,755","3,809","3,681","2,605","1,448","613","93","2"
"서울특별시 성북구 종암동(1129070500)","37,051","37,051","1,925","3,254","5,228","4,519","5,474","6,309","5,257","3,040","1,744","292","9"
"서울특별시 성북구 월곡제1동(1129071500)","25,182","25,182","1,531","2,323","2,660","3,185","3,960","4,271","3,748","2,249","1,130","121","4"
"서울특별시 성북구 월곡제2동(1129072500)","18,693","18,693","713","1,293","3,407","2,564","2,359","2,921","2,729","1,688","889","128","2"
"서울특별시 성북구 장위제1동(1129076000)","23,048","23,048","1,330","1,704","2,878","3,089","3,337","4,103","3,673","1,917","917","100","0"
"서울특별시 성북구 장위제2동(1129077000)","12,856","12,856","430","709","1,671","1,817","1,569","2,156","2,208","1,503","698","93","2"
"서울특별시 성북구 장위제3동(1129078000)","15,384","15,384","1,400","1,270","1,865","2,213","2,576","2,556","1,981","1,024","439","59","1"
"서울특별시 성북구 석관동(1129081000)","33,448","33,448","1,550","1,930","4,425","4,650","4,364","5,605","5,600","3,445","1,703","168","8"
"서울특별시 강북구 (1130500000)","283,597","283,597","10,554","18,405","36,202","34,602","37,947","49,733","48,077","30,719","15,559","1,755","44"
"서울특별시 강북구 삼양동(1130553400)","23,945","23,945","1,063","1,639","2,856","2,850","3,319","4,427","4,043","2,463","1,168","115","2"
"서울특별시 강북구 미아동(1130553500)","20,556","20,556","498","1,060","3,371","2,697","2,505","3,451","3,600","2,134","1,118","120","2"
"서울특별시 강북구 송중동(1130554500)","27,896","27,896","1,153","1,765","3,564","3,624","3,848","4,817","4,718","2,934","1,329","141","3"
"서울특별시 강북구 송천동(1130555500)","23,365","23,365","637","1,227","2,678","2,749","2,883","4,270","4,611","2,810","1,356","138","6"
"서울특별시 강북구 삼각산동(1130557500)","30,257","30,257","2,057","3,714","3,224","3,119","5,295","5,681","3,719","2,235","1,072","140","1"
"서울특별시 강북구 번1동(1130559500)","16,236","16,236","418","785","2,666","2,378","2,267","2,754","2,478","1,629","781","76","4"
"서울특별시 강북구 번2동(1130560300)","14,573","14,573","426","787","1,684","1,556","1,862","2,489","2,701","1,950","1,010","105","3"
"서울특별시 강북구 번3동(1130560800)","16,016","16,016","608","1,079","1,576","1,597","1,941","2,711","2,755","2,356","1,262","127","4"
"서울특별시 강북구 수유1동(1130561500)","19,584","19,584","648","1,167","2,642","2,630","2,525","3,256","3,461","2,083","1,028","144","0"
"서울특별시 강북구 수유2동(1130562500)","20,225","20,225","756","1,161","2,404","2,324","2,578","3,548","3,668","2,314","1,315","153","4"
"서울특별시 강북구 수유3동(1130563500)","22,759","22,759","502","975","4,034","3,414","2,767","3,884","3,687","2,243","1,124","125","4"
"서울특별시 강북구 우이동(1130564500)","19,604","19,604","751","1,191","2,241","2,283","2,502","3,492","3,451","2,260","1,275","153","5"
"서울특별시 강북구 인수동(1130566000)","28,581","28,581","1,037","1,855","3,262","3,381","3,655","4,953","5,185","3,308","1,721","218","6"
"서울특별시 도봉구 (1132000000)","303,228","303,228","12,967","21,597","35,652","37,405","40,743","53,292","53,474","30,684","15,278","2,075","61"
