,구분,위치(구역명),운동기구 기종명,운동기구 수량,관리번호,관리기관
123,남산공원(한남),수복천,역기 올리기,1,남산한남-1(수복천)-8,중부공원녹지사업소
124,남산공원(한남),수복천,벤치 프레스,1,남산한남-1(수복천)-9,중부공원녹지사업소
125,남산공원(한남),수복천,발목걸어 거꾸리,1,남산한남-1(수복천)-10,중부공원녹지사업소
126,남산공원(한남),과수원서측,등허리 지압기,1,남산한남-2(과수원서측)-1,중부공원녹지사업소
127,남산공원(한남),과수원서측,다리뻗치기,1,남산한남-2(과수원서측)-2,중부공원녹지사업소
128,남산공원(한남),과수원서측,온몸 역기 내리기,1,남산한남-2(과수원서측)-3,중부공원녹지사업소
129,남산공원(한남),과수원서측,파도타기,1,남산한남-2(과수원서측)-4,중부공원녹지사업소
130,남산공원(한남),과수원서측,윗몸 일으키기,1,남산한남-2(과수원서측)-5,중부공원녹지사업소
131,남산공원(한남),과수원서측,온몸 파도타기,1,남산한남-2(과수원서측)-6,중부공원녹지사업소
132,남산공원(한남),과수원서측,온몸 근육풀기,1,남산한남-2(과수원서측)-7,중부공원녹지사업소
133,남산공원(한남),과수원서측,하체 흔들기,1,남산한남-2(과수원서측)-8,중부공원녹지사업소
134,남산공원(한남),과수원서측,공중 걷기,1,남산한남-2(과수원서측)-9,중부공원녹지사업소
135,남산공원(한남),과수원서측,달리기 운동,1,남산한남-2(과수원서측)-10,중부공원녹지사업소
136,남산공원(한남),과수원서측,평행봉,1,남산한남-2(과수원서측)-11,중부공원녹지사업소
137,남산공원(한남),남산약수터,허리풀기,1,남산한남-3(남산약수터)-1,중부공원녹지사업소
138,남산공원(한남),남산약수터,윗몸 일으키기,1,남산한남-3(남산약수터)-2,중부공원녹지사업소
139,남산공원(한남),남산약수터,벤치 프레스,1,남산한남-3(남산약수터)-3,중부공원녹지사업소
140,남산공원(한남),남산약수터,온몸 근육풀기,1,남산한남-3(남산약수터)-4,중부공원녹지사업소
141,남산공원(한남),남산약수터,레그 프레스,1,남산한남-3(남산약수터)-5,중부공원녹지사업소
142,남산공원(한남),남산약수터,트리플 트위스트,1,남산한남-3(남산약수터)-6,중부공원녹지사업소
143,남산공원(한남),남산약수터,무릎펴서 걷기,1,남산한남-3(남산약수터)-7,중부공원녹지사업소
144,남산공원(한남),남산약수터,하체 흔들기,1,남산한남-3(남산약수터)-8,중부공원녹지사업소
145,남산공원(한남),남산약수터,철봉(2단),1,남산한남-3(남산약수터)-9,중부공원녹지사업소
146,남산공원(한남),한강진게이트볼장,온몸 역기 밀기,1,남산한남-4(게이트볼장)-1,중부공원녹지사업소
147,남산공원(한남),한강진게이트볼장,무릎펴서 걷기,1,남산한남-4(게이트볼장)-2,중부공원녹지사업소
148,남산공원(한남),한강진게이트볼장,허리 돌리기,1,남산한남-4(게이트볼장)-3,중부공원녹지사업소
149,남산공원(한남),한강진게이트볼장,파도타기,1,남산한남-4(게이트볼장)-4,중부공원녹지사업소
150,남산공원(한남),한강진게이트볼장,윗몸 일으키기,1,남산한남-4(게이트볼장)-5,중부공원녹지사업소
151,남산공원(한남),배수지위,허리 돌리기,1,남산한남-5(배수지위)-1,중부공원녹지사업소
152,남산공원(한남),배수지위,등허리 지압기,1,남산한남-5(배수지위)-2,중부공원녹지사업소
153,남산공원(한남),배수지위,시티드 체스트 프레스,1,남산한남-5(배수지위)-3,중부공원녹지사업소
154,남산공원(한남),배수지위,버터 플라이,1,남산한남-5(배수지위)-4,중부공원녹지사업소
155,남산공원(한남),배수지위,버터 플라이,1,남산한남-5(배수지위)-5,중부공원녹지사업소
156,남산공원(한남),배수지위,어깨 근육풀기,1,남산한남-5(배수지위)-6,중부공원녹지사업소
157,남산공원(한남),배수지위,매달려 건너기,1,남산한남-5(배수지위)-7,중부공원녹지사업소
158,남산공원(한남),배수지위,스쿼드,1,남산한남-5(배수지위)-8,중부공원녹지사업소
159,남산공원(한남),배수지위,업도미널,1,남산한남-5(배수지위)-9,중부공원녹지사업소
160,남산공원(한남),배수지위,스탠딩 레그컬,1,남산한남-5(배수지위)-10,중부공원녹지사업소
161,남산공원(한남),배수지위,레그 익스텐션,1,남산한남-5(배수지위)-11,중부공원녹지사업소
162,남산공원(한남),배수지위,암컬,1,남산한남-5(배수지위)-12,중부공원녹지사업소
163,남산공원(한남),배수지위,양팔 줄당기기,1,남산한남-5(배수지위)-13,중부공원녹지사업소
164,남산공원(한남),배수지위,공중걷기,1,남산한남-5(배수지위)-14,중부공원녹지사업소
